p037,sh7,Tried and True Chelsea Boots,Free People,Free People,https://www.freepeople.com/shop/tried-and-true-chelsea-boots/?color=001,148,$$,Sporty,Natural,Edgy,,6-11,no,no,no,black,,,,"The lug sole does all the work here. Pull-on, chunky, sturdy enough for a real winter — this is the boot for a woman who wants to stop thinking about her shoes in the morning.",2026-08-14,yes,medium
p038,sh7,Italian Leather Heeled Ankle Boot,Quince,Quince,https://www.quince.com/women/italian-leather-ankle-boot,150,$$$,Classic,Professional,Minimal,,5-11,no,no,no,"black, black suede, espresso, coffee suede, merlot",,,,"Italian leather at this price is the kind of thing I check twice. The 2.4 inch stacked heel is the height you can actually stand in all day, and a round toe is far kinder to a wide foot than anything pointed.",2026-08-14,yes,medium
p039,sh7,New Frontier Western Bootie,Free People,Nordstrom Rack,https://www.nordstromrack.com/s/new-frontier-western-bootie-women/5117525,158,$$$,Bold,Natural,Edgy,,6-10,no,no,no,coral fusion,,,,"A western bootie is either the best thing in your closet or fancy dress, and the difference is whether the appliqué knows when to stop. This one does — and at Rack prices it is worth the gamble.",2026-08-14,yes,medium
p040,sh7,Saige Bootie,Sam Edelman,Nordstrom,https://www.nordstrom.com/s/sam-edelman-saige-bootie-women/7882840,170,$$$,Glam,Professional,Romantic,,5-12,no,no,no,"black, cyprus tan, spiced pecan, cafe noir, warm nutmeg",,,,A demi block heel is the most useful heel there is — it reads dressy and walks like a flat. The square toe keeps it current without dating it to one particular year.,2026-08-14,yes,medium
p041,sh7,Misty Moccasin Boots,Free People,Free People,https://www.freepeople.com/shop/misty-moccasin-boots/?color=016,228,$$$,Natural,Romantic,Bold,,6-9 (larger sizes sold out),no,no,no,"sunstone sand suede, driftwood tan, pearl blush, olive suede",,,,"Slouchy suede that only gets better as it softens. This is a boot with an opinion, so wear it with something plain and let it do the talking.",2026-08-14,yes,medium
p042,sh7,Tish Link Suede Ankle Boots,Talbots,Talbots,https://www.talbots.com/tish-link-suede-ankle-boots/P263041636.html,229,$$$,Romantic,Classic,Professional,,5-11,no,no,no,"deep olive green, light toffee",,,,"The link detail is the whole boot — one piece of jewellery, built in, so you don't have to add any. At an inch and a quarter it is the heel you forget you are wearing.",2026-08-14,yes,medium
p043,sh7,Jade Side Zip Comfort Ankle Boot,SAS,Zappos,https://www.zappos.com/p/sas-jade-side-zip-comfort-ankle-boots-black/product/9585016,249,$$$,Professional,Classic,Natural,,5-12,no,no,no,"black, walnut",,,,"Six widths, narrow through triple-wide, which almost nothing else in this category offers. If you have spent years being told your foot is the problem, this is the boot that disagrees.",2026-08-14,yes,"narrow, medium, wide"
p044,sh7,Newbury Leather Chelsea Boot,Rag & Bone,Rag & Bone,https://www.rag-bone.com/p/newbury-leather-chelsea-boot-RP2O26F501L.html,498,$$$$,Edgy,Minimal,Classic,,EU 35-41 (US 5-11),no,no,no,black,,,,"The splurge. A Chelsea boot lives or dies on whether the elastic panel still holds its shape in year five, and this is the one that does. Three inch stacked heel — real height, no wobble.",2026-08-14,yes,medium
p045,sh9,Italian Leather & Suede Low Profile Sneaker,Quince,Quince,https://www.quince.com/women/italian-leather-and-suede-low-profile-sneaker,94,$$,Minimal,Natural,Classic,,5-11,no,no,no,"black, cognac, birch, garnet, shell pink, electric blue",,,,"Italian leather and suede at ninety-four dollars, in six colours including a proper electric blue. Low profile means it sits under a trouser hem instead of fighting it.",2026-08-14,yes,medium
p046,sh9,Medina Sneaker,Naturalizer,Nordstrom,https://www.nordstrom.com/s/medina-sneaker-women/8093961,100,$$,Classic,Professional,Sporty,,6-11,no,no,no,"warm white/rose gold, black, warm silver, warm taupe",,,,"Comes in a true wide, which almost no fashion sneaker does. Naturalizer build the footbed properly — this is the one for a woman who walks all day and refuses to look like she's dressed for the gym.",2026-08-14,yes,"medium, wide"
p047,sh9,530 Sneaker,New Balance,Nordstrom,https://www.nordstrom.com/s/new-balance-530-sneaker-women/7920916,110,$$,Sporty,Natural,Bold,,5-12,no,no,no,"raincloud, rosewood/pink salt, white/silver, bisque",,,,The retro runner that goes with everything and asks nothing of you. The muted colourways are the trick — they read considered rather than sporty.,2026-08-14,yes,"medium, wide"
p048,sh9,Lift Platform Sneaker,Kate Spade New York,Nordstrom,https://www.nordstrom.com/s/kate-spade-new-york-lift-platform-sneaker-women/5572711,148,$$,Glam,Romantic,Bold,,5-11,no,no,no,optic white/pale gold,,,,"A platform buys you height without a heel, and the gold trim is the detail that lets a sneaker go somewhere nice. This is the pair for a woman who wants comfort without giving up on shine.",2026-08-14,yes,medium
p049,sh9,Esplar Sneaker,Veja,Nordstrom,https://www.nordstrom.com/s/esplar-sneaker-women/5081550,150,$$$,Minimal,Classic,Natural,,5-11,no,no,no,"extra white, white/silver, white/black, white/sable",,,,"The clean white leather court sneaker, done by the brand that does it best. It will look right with jeans, with a midi skirt, and under a suit on a Friday.",2026-08-14,yes,medium
p050,sh9,9060 Sneaker,New Balance,Nordstrom,https://www.nordstrom.com/s/new-balance-gender-inclusive-9060-sneaker/7714156,160,$$$,Bold,Edgy,Sporty,,"5-12 (runs large, size down a half)",no,no,no,"sea salt/concrete, mosaic green, truffle salt, raincloud",,,,"The chunky one, and it is chunky on purpose — it balances a wide-leg trouser the way a delicate shoe never will. Runs large, so take a half size down.",2026-08-14,yes,"medium, wide"
p051,sh9,Terra Sneaker,Reformation,Nordstrom,https://www.nordstrom.com/s/reformation-terra-sneaker-women/8374602,198,$$$,Romantic,Minimal,Classic,,5-11,no,no,no,midnight satin,,,,"Low, slim, and quietly pretty — a sneaker that doesn't shout. Reformation cut it narrow through the foot, so take your usual size only if you already know narrow suits you.",2026-08-14,yes,medium
